./csvfiles\file1.csv --> Questionable Rows 
VYL36XXM3LM,Aretha,Nelle,"P.O. Box 791, 4807 Erat Rd.",1,25254-029,_merge
KSD78BTS4SX,Olympia,Lael,680 Ullamcorper St.,84,S5Y 3A6,left_only
HFK00GKK8II,Lacy,Calvin,310-9357 Natoque St.,85,3292,left_only
WSD91OXS5DS,Madeson,Virginia,Ap #587-886 Urna Road,86,38052,left_only
ONT39VJX4JO,Jane,Mariko,"P.O. Box 693, 9440 Risus. Ave",87,6489,left_only
QWX86IGR9YS,Erich,Shaine,"P.O. Box 498, 2532 Auctor St.",88,39737-289,left_only
IQB43DLP2OG,Sonia,Nadine,1475 Tellus Rd.,89,3914 ST,left_only
./csvfiles\file2.csv --> Questionable Rows 
VYL36XXM3LM,Aretha,Nelle,"P.O. Box 791, 4807 Erat Rd.",1,25254-029,_merge
RVJ28FGN5ZA,Darius,Rana,4575 Nisi. St.,12,03704,right_only
SXE94FXY2ME,Hannah,Preston,7407 A St.,13,15108,right_only
KPO54OAM7LY,Craig,Francis,5563 Mollis Rd.,14,30-327,right_only
URW86ZSG5CW,Gabriel,Sara,405 Purus Street,15,8459,right_only
WYS04CHA5ZT,Nell,Ronan,7861 Ut Avenue,16,97-943,right_only
BCW06ALH6QL,Malcolm,Cooper,Ap #378-9074 Cum Avenue,17,699568,right_only
ZIY38ESL2YG,Hu,Imogene,"P.O. Box 735, 4672 Ac St.",63,14868,right_only
ULL91CPH8ON,Wilma,Wade,"P.O. Box 331, 2257 Maecenas Rd.",64,04887,right_only
FRH04UTU4NT,Neil,Rana,Ap #989-8616 Metus St.,65,89789,right_only
LMB34FGH8XV,Brent,Lael,345-5408 Neque. Avenue,66,7432,right_only
